Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
<<<<<<< HEAD
combo_0,"[6, 9, 7, 5]",1.0,1.0,1.0
combo_1,"[6, 10, 1, 5]",1.0,1.0,1.0
combo_2,"[6, 10, 4, 2]",1.0,1.0,1.0
combo_3,"[6, 9, 4, 8]",1.0,1.0,1.0
combo_4,"[6, 3, 4, 2]",1.0,1.0,1.0
combo_5,"[6, 10, 4, 11]",1.0,1.0,0.98
combo_6,"[6, 10, 4, 5]",1.0,1.0,1.0
combo_7,"[6, 9, 1, 11]",1.0,0.94,0.96
combo_8,"[6, 10, 1, 8]",1.0,0.96,0.96
combo_9,"[6, 3, 1, 5]",1.0,1.0,1.0
combo_10,"[6, 3, 1, 11]",1.0,0.98,0.98
combo_11,"[6, 3, 7, 5]",1.0,1.0,1.0
combo_12,"[6, 10, 7, 5]",1.0,1.0,1.0
combo_13,"[6, 3, 1, 8]",1.0,0.98,0.98
combo_14,"[6, 9, 4, 2]",1.0,1.0,1.0
combo_15,"[6, 10, 4, 8]",1.0,1.0,0.98
combo_16,"[6, 9, 7, 8]",1.0,0.9,0.92
combo_17,"[6, 10, 1, 11]",1.0,0.98,0.94
combo_18,"[6, 9, 4, 11]",1.0,0.98,0.98
combo_19,"[6, 3, 4, 5]",1.0,1.0,1.0
combo_20,"[6, 3, 4, 8]",1.0,1.0,1.0
combo_21,"[6, 9, 7, 11]",1.0,0.96,0.94
combo_22,"[6, 3, 7, 8]",1.0,1.0,1.0
combo_23,"[6, 3, 7, 11]",1.0,0.98,0.98
combo_24,"[6, 3, 1, 2]",1.0,1.0,1.0
combo_25,"[6, 9, 1, 5]",1.0,1.0,1.0
combo_26,"[6, 10, 7, 2]",1.0,1.0,0.98
combo_27,"[6, 9, 4, 5]",1.0,1.0,1.0
combo_28,"[6, 3, 7, 2]",1.0,1.0,1.0
combo_29,"[6, 9, 1, 8]",1.0,0.96,0.94
combo_30,"[6, 10, 7, 8]",1.0,0.96,0.98
combo_31,"[6, 10, 1, 2]",1.0,1.0,0.98
combo_32,"[6, 9, 7, 2]",1.0,1.0,1.0
combo_33,"[6, 3, 4, 11]",1.0,1.0,1.0
combo_34,"[6, 10, 7, 11]",1.0,0.98,0.94
combo_35,"[6, 9, 1, 2]",1.0,1.0,1.0
=======
combo_0,"[6, 10, 7, 8]",0.98,0.96,0.92
combo_1,"[6, 10, 4, 8]",1.0,1.0,1.0
combo_2,"[6, 3, 7, 8]",1.0,0.98,1.0
combo_3,"[6, 10, 11, 8]",1.0,0.92,0.88
combo_4,"[6, 9, 7, 5]",1.0,1.0,1.0
combo_5,"[6, 10, 1, 2]",1.0,0.98,1.0
combo_6,"[6, 3, 1, 2]",1.0,1.0,1.0
combo_7,"[6, 9, 4, 8]",1.0,1.0,1.0
combo_8,"[6, 9, 11, 2]",1.0,0.9,0.94
combo_9,"[6, 9, 11, 8]",1.0,0.92,0.9
combo_10,"[6, 10, 11, 5]",1.0,1.0,0.98
combo_11,"[6, 9, 4, 5]",1.0,1.0,1.0
combo_12,"[6, 3, 1, 8]",1.0,1.0,0.96
combo_13,"[6, 9, 4, 2]",1.0,1.0,1.0
combo_14,"[6, 9, 7, 8]",1.0,0.96,0.96
combo_15,"[6, 10, 4, 5]",1.0,1.0,1.0
combo_16,"[6, 10, 1, 5]",1.0,1.0,1.0
combo_17,"[6, 10, 7, 5]",1.0,1.0,1.0
combo_18,"[6, 10, 1, 8]",1.0,0.92,0.98
combo_19,"[6, 3, 7, 2]",1.0,1.0,1.0
combo_20,"[6, 3, 4, 8]",1.0,1.0,1.0
combo_21,"[6, 9, 1, 5]",1.0,1.0,1.0
combo_22,"[6, 3, 11, 2]",1.0,1.0,1.0
combo_23,"[6, 3, 11, 5]",1.0,1.0,1.0
combo_24,"[6, 9, 11, 5]",1.0,1.0,0.98
combo_25,"[6, 9, 1, 2]",1.0,0.98,0.98
combo_26,"[6, 3, 1, 5]",1.0,1.0,1.0
combo_27,"[6, 10, 11, 2]",1.0,0.92,0.96
combo_28,"[6, 3, 11, 8]",1.0,0.96,0.94
combo_29,"[6, 10, 7, 2]",1.0,1.0,1.0
combo_30,"[6, 10, 4, 2]",1.0,1.0,1.0
combo_31,"[6, 3, 7, 5]",1.0,1.0,1.0
combo_32,"[6, 9, 7, 2]",1.0,1.0,1.0
combo_33,"[6, 3, 4, 5]",1.0,1.0,1.0
combo_34,"[6, 3, 4, 2]",1.0,1.0,1.0
combo_35,"[6, 9, 1, 8]",1.0,0.94,0.96
>>>>>>> 4a6c16dc3e8321a77f7a5c2b0087deb336fbad56
